prefLabel (English),Translation prefLabel (Spanish),Identifier,altLabel (English),Translation altLabel (Spanish),Description/Scope Note (English),Description/Scope Note (Spanish),translationNote,historyNote (English),historyNote (Spanish),"Comments (Ernesto, postdoc)"
Bisexual Deaf people,Personas bisexuales sordas,homoit0001869,Deaf bisexual people,"Sordos bisexuales||
Personas sordas bisexuales||
Sordas bisexuales",Bisexual people with significant or total hearing loss. Some but not all Deaf people prefer to capitalize Deaf in recognition of the cultural and linguistic identity they share with other Deaf people.,"Personas bisexuales con pérdida auditiva significativa o total. Algunas personas sordas, pero no todas, prefieren escribir “Sorda/o” con mayúscula  en reconocimiento de la identidad cultural y lingüística que comparten con otras personas sordas.",,,,"--> Following Sara, I will add ""Personas sordas bisexuales"" as altLabel ES.
--> Add FGG and GNL as altLabel ES?"
Bisexual disabled people,Personas bisexuales discapacitadas,homoit0001857,"Bisexual people with disabilities||
Disabled bisexual people","Personas discapacitadas bisexuales||
Personas bisexuales con discapacidades",Bisexual people who are disabled.,Personas bisexuales con discapacidad.,,,,--> Follow up with anaportnoybrimmer@gmail.com and Conchita Hernandez Legorreta. :) 
Bisexual dominants,Dominantes bisexuales,homoit0000148,Bisexual masters,Amos bisexuales,Bisexual people who are part of the BDSM scene and assume the dominant role in sexual relationships with a dominant/submissive dynamic.,Personas bisexuales que forman parte de la escena BDSM y asumen el rol dominante en las relaciones sexuales con una dinámica dominante/sumisa.,,,,
Bisexual dominatrices,Dominatrices bisexuales,homoit0000149,,,Women who take a dominant role in BDSM activities; use for dominatrices who identify as bisexual.,Mujeres que desempeñan un papel dominante en las actividades del BDSM; utilícese para dominatrices que se autoidentifiquen como bisexuales.,,,,
Bisexual drama,Drama bisexual,homoit0001720,,,Works of fiction written to be performed; use in reference to dramatic works focusing on bisexual characters or themes.,Obras de ficción escritas para ser puestas en escena; utilícese en referencia a obras dramáticas que se centran en personajes o temas bisexuales.,,,,
Bisexual employment,Empleo bisexual,homoit0002609,,,Employment of bisexual people.,El acto de emplear a personas bisexuales.,,,,
Bisexual erotic art,Arte erótico bisexual,homoit0002548,,,"Erotic art, created by bisexual artists, depicting bisexual people, or that are regarded as important within bisexual culture.","Arte erótico, creado por artistas bisexuales, que representa a personas bisexuales o a personas consideradas importantes dentro de la cultura bisexual.",,,,
Bisexual erotic films,Películas eróticas bisexuales,homoit0001599,,,"Erotic films or movies, created by bisexual directors, depicting bisexual people, or that are regarded as important within bisexual culture.","Filmes o películas eróticas, creadas por directores bisexuales, que representan a personas bisexuales o a personas consideradas importantes dentro de la cultura bisexual.",,,,"--> SN ES, check GNL "
Bisexual erotic literature,Literatura erótica bisexual,homoit0000150,,,Literary works that have erotic or sexual elements; use in reference to erotic literature focusing on bisexual characters or themes.,Obras literarias que tengan elementos eróticos o sexuales; utilícese en referencia a la literatura erótica que se centra en personajes o temas bisexuales.,,,,
Bisexual families,Familias bisexuales,homoit0001567,,,"Families, whether biological, adoptive, or chosen, in which one or more individuals identify as bisexual.","Familias, ya sean biológicas, adoptivas o elegidas, en las que una o más personas se autoidentican como bisexuales.",,,,
Bisexual fantasy fiction,Ficción fantástica bisexual,homoit0002338,,,Written works that include magical or fantastical elements; use in reference to fantasy fiction focusing on bisexual characters or themes.,Obras escritas que incluyan elementos mágicos o fantásticos; utilícese en referencia a ficción fantástica centrada en personajes o temas bisexuales.,,,,
Bisexual fathers,Padres bisexuales,homoit0000151,Bisexual dads,Papás bisexuales,Bisexual people who are fathers.,Personas bisexuales que son padres.,,,,
Bisexual fiction,Ficción bisexual,homoit0002447,,,Written works describing imagined events or people; use in reference to fictional works focusing on bisexual characters or themes.,Obras escritas que describen eventos o personas imaginadas; utilícese en referencia a obras de ficción que se centran en personajes o temas bisexuales.,,,,
Bisexual films,Películas bisexuales,homoit0000152,,,"Motion pictures, or movies, created by bisexual directors, depicting bisexual people, or that are regarded as important within bisexual culture.","Películas creadas por directores bisexuales, que representan a personas bisexuales o a personas consideradas importantes dentro de la cultura bisexual.",,,,"--> SN ES, check GNL"
Bisexual girls,Niñas bisexuales,homoit0001863,,,Girls (typically children younger than 18) who are bisexual.,Niñas (normalmente niñas menores de 18 años) que son bisexuales.,,,,
Bisexual hard of hearing people,Personas bisexuales con problemas de audición ,homoit0002263,"Bisexual HoH people||
Bisexual hearing impaired people||
Hearing impaired bisexual people||
HoH bisexual people","Personas bisexuales con dificultades de audición||
Personas bisexuales con dificultades auditivas",Bisexual people with significant or total hearing loss who may or may not consider themselves d/Deaf.,Personas bisexuales con pérdida auditiva significativa o total que pueden o no considerarse S/sordas.,,,,
Bisexual history,Historia bisexual,homoit0001583,,,"Past events or accounts of the past concerning bisexual people, or people who might be perceived as bisexual if they were alive today.","Eventos o relatos del pasado relacionados con personas bisexuales, o personas que podrían ser percibidas como bisexuales si estuvieran vivas hoy.",,,,
Bisexual horror fiction,Ficción de horror bisexual,homoit0000153,,,"Written works of fiction intended to frighten, scare, or disgust; use in reference to horror fiction focusing on bisexual characters or themes.","Obras de ficción escritas con la intención de asustar, atemorizar o provocar disgusto; utilícese en referencia a la ficción de horror centrada en personajes o temas bisexuales.",,,,
Bisexual identity,Identidad bisexual,homoit0000147,,,"Term used to describe the sexual identity of individuals who are romantically and/or sexually attracted to people of more than one gender and who prefer the term bisexual over alternatives such as pansexual, polysexual, etc.","Término utilizado para describir la identidad sexual de personas que se sienten atraídas romántica y/o sexualmente por personas de más de un género y que prefieren el término bisexual a alternativas como pansexual, polisexual, etc.",,,,
Bisexual information centers,Centros de información bisexual,homoit0000156,,,"Institutions providing education, support, and information about bisexuality and bisexual communities to bisexual people.","Instituciones que brindan educación, apoyo e información sobre la bisexualidad y comunidades bisexuales a personas bisexuales.",,,,
Bisexual libraries,Bibliotecas bisexuales,homoit0001605,,,Libraries that hold materials primarily pertaining to bisexual people or intended for use by bisexual people.,Bibliotecas que contienen materiales principalmente relacionados con personas bisexuales o destinados a personas bisexuales.,,,,
Bisexual literary criticism,Crítica literaria bisexual,homoit0000157,,,"The study, evaluation, and interpretation of literary works focusing on bisexual characters or themes; can also include interpretation of literature through the lens and frameworks of bisexuality.","El estudio, la evaluación y la interpretación de obras literarias centradas en personajes o temas bisexuales; también puede incluir la interpretación de la literatura a través del lente y los marcos teóricos de la bisexualidad.",,,,
Bisexual literature,Literatura bisexual,homoit0000159,,,"Written literary works about bisexuality, bisexual characters, or bisexual themes.","Obras literarias escritas sobre la bisexualidad, personajes bisexuales o temas bisexuales.",,,,
Bisexual masters,Amos bisexuales,homoit0000160,,,Bisexual people (typically men) who are part of the BDSM scene and assume the master role in sexual relationships with a master/slave dynamic.,Personas bisexuales (típicamente hombres) que forman parte de la escena BDSM y asumen el rol de amo en las relaciones sexuales con una dinámica amo/esclavo.,,,,
Bisexual men,Hombres bisexuales,homoit0000161,Male bisexuals,,Men who identify as bisexual.,Hombres que se autoidentifican como bisexuales.,,,,
Bisexual mistresses,Amas bisexuales,homoit0002344,,,Bisexual women who are part of the BDSM scene and assume the mistress role in sexual relationships with a mistress/slave dynamic.,Mujeres bisexuales que forman parte de la escena BDSM y asumen el rol de ama en las relaciones sexuales con una dinámica ama/esclava.,,,,
Bisexual mothers,Madres bisexuales,homoit0000162,Bisexual moms,Mamás bisexuales,Bisexual people who are mothers.,Personas bisexuales que son madres.,,,,
Bisexual movement,Movimiento bisexual,homoit0000163,,,Umbrella term for activism focused on the rights of bisexual people and issues faced by bisexual communities.,Término general para el activismo centrado en los derechos de las personas bisexuales y los problemas que enfrentan las comunidades bisexuales.,,,,
Bisexual museums,Museos bisexuales,homoit0000164,,,"Institutions dedicated to the storage, exhibition, conservation, and preservation of materials relating to bisexuality, bisexual people, or bisexual history.","Instituciones dedicadas al almacenamiento, la exposición, la conservación y la preservación de materiales relacionados con las personas bisexuales y la historia bisexual.",,,,
Bisexual musicals,Musicales bisexuales,homoit0001577,,,"Musicals created by bisexual directors, depicting bisexual individuals, or that are regarded as important within bisexual culture.","Musicales creados por directores bisexuales, que representan a personas bisexuales o que se consideran importantes dentro de la cultura bisexual.",,,,"--> Check GNL and FGG for SN ES. 
--> in prefLabel ES ""Musicales"" is a good translation for ""musicals"""
Bisexual Muslims,Musulmanes bisexuales,homoit0002661,,,Bisexual people who are Muslim.,Personas bisexuales que son musulmanas.,,,,--> Add GNL and FGG in altLabel ES?
Bisexual mystery and detective fiction,Ficción bisexual de misterio y detectives,homoit0000166,,,Written literary works about the investigation of crime or the work of detectives; use in reference to mystery and detective fiction focusing on bisexual characters or themes.,Obras literarias escritas sobre la investigación de crímenes o el trabajo de detectives; utilícese en referencia a la ficción de misterio y de detectives centrada en personajes y temas bisexuales.,,,,
Bisexual neurodivergent people,Personas bisexuales neurodivergentes,homoit0000167,,,"Bisexual people whose brains process, learn, and/or behave differently from what is considered typical by society. Some of these neurological differences can present as learning disabilities, medical disorders, and other conditions.","Personas bisexuales cuyos cerebros procesan, aprenden y/o se comportan de manera diferente a lo que la sociedad considera típico. Algunas de estas diferencias neurológicas pueden presentarse como problemas de aprendizaje, trastornos médicos y otras condiciones.",,,,
Bisexual newsletters,Boletines bisexuales,homoit0002888,,,"Serialized print or digital periodicals created by or for bisexual people, often with the purpose of sharing news and information related to bisexual communities and bisexual issues.","Publicaciones impresas o digitales serializadas creadas por o para personas bisexuales, a menudo con el propósito de compartir noticias e información relacionada con comunidades bisexuales y temas bisexuales.",,,,
Bisexual newspapers,Periódicos bisexuales,homoit0000168,,Diarios bisexuales,"Serialized print or digital publications about bisexuality or bisexual issues (and typically produced by bisexual people or organizations) that contain news, articles, columns, correspondence, and advertisements.","Publicaciones impresas o digitales serializadas sobre la bisexualidad o temas bisexuales (y generalmente producidas por personas u organizaciones bisexuales) que contienen noticias, artículos, columnas, correspondencia y anuncios.",,,,
Bisexual operas,Óperas bisexuales,homoit0000169,,,"Operas created by bisexual directors, depicting bisexual individuals, or that are regarded as important within bisexual culture.","Óperas creadas por directores bisexuales, que representan a personas bisexuales o a personas consideradas importantes dentro de la cultura bisexual.",,,,"--> SN ES, check GNL"
Bisexual Pagans,Paganos bisexuales,homoit0002369,,,"Bisexual people who are members of polytheistic religions or other religions outside of the dominant culture that typically incorporate nature worship and/or the sacred feminine, such as Wicca, Druidry, Heathenry, etc. Use to describe bisexual people who self-identify as Pagan.","Personas bisexuales que son miembros de religiones politeístas u otras religiones fuera de la cultura dominante que típicamente incorporan el culto a la naturaleza y/o lo sagrado femenino, como la Wicca, el druidismo, el paganismo, etc. Utilícese para describir a las personas bisexuales que se autoidentifican como paganas.",,,,
Bisexual parents,Madres y padres bisexuales,homoit0000170,,"Madres bisexuales|| 
Padres bisexuales",Parents who are bisexual.,Padres y/o madres que son bisexuales.,,,,"--> Maybe we should include another prefLabel ES ""Madres bisexuales"" or ""Madres y padres bisexuales"""
Bisexual partners,Parejas bisexuales,homoit0002150,,,"Bisexual people who are the romantic, sexual, or play partners of another person or people.","Personas bisexuales que son las parejas románticas, sexuales o de juego de otra persona o personas.",,,,
Bisexual people,Personas bisexuales,homoit0000171,Bisexuals,Bisexuales,Individuals who are romantically and/or sexually attracted to more than one gender and who identify as bisexual; do not use to describe pansexual or polysexual people unless they also use the term bisexual.,Personas que se sienten atraídas romántica y/o sexualmente por más de un género y que se autoidentifican como bisexuales; no se debe utilizar para describir a personas pansexuales o polisexuales a menos que también utilicen el término bisexual.,,,,
Bisexual people in fandom,Personas bisexuales en fandom,homoit0002032,Bisexuals in fandom,Bisexuales en fandom,The participation and inclusion of bisexual people in fan communities.,La participación e inclusión de personas bisexuales en las comunidades de fans.,,,,
Bisexual people in the military,Personas bisexuales en el ejército,homoit0000172,,Personas bisexuales en las fuerzas armadas,Bisexual individuals serving in state and national armed forces.,Personas bisexuales que sirven en las fuerzas armadas estatales y nacionales.,,,,
Bisexual people in the workplace,Personas bisexuales en el lugar de trabajo,homoit0001882,,,"The presence of bisexual people in the workplace, including acceptance of and issues faced by bisexual workers.","La presencia de personas bisexuales en el lugar de trabajo, incluida la aceptación de los trabajadores bisexuales y los problemas a los que se enfrentan.
",,,,
Bisexual people of color,Personas bisexuales de color,homoit0000174,,,Bisexual people who are not white and who identity as people of color.,Personas bisexuales que no son blancas y que se autoidentifican como personas de color.,,,,
Bisexual people with chronic illnesses,Personas bisexuales con enfermedades crónicas,homoit0000175,Chronically ill bisexual people,"Personas con enfermedades crónicas bisexuales|| 
Enfermos crónicos bisexuales||
Enfermas crónicas bisexuales",Bisexual people who have long-term health conditions that require continued medical attention and/or significantly impact or limit daily life; some but not all people with chronic illnesses consider themselves disabled.,"Personas bisexuales que tienen condiciones de salud a largo plazo que requieren atención médica continua y/o que impactan o limitan significativamente la vida diaria; algunas, pero no todas, las personas con enfermedades crónicas se consideran discapacitadas.",,,,--> Add GNL and FGG in altLabel ES?
Bisexual poetry,Poesía bisexual,homoit0002812,,,"Literary work, typically written in verse, that focuses on bisexual characters, themes, or identity.","Obras literarias, normalmente escritas en verso, que se centran en personajes, temas o identidades bisexuales.",,,,
Bisexual political activists,Activistas políticos bisexuales,homoit0000176,,,Bisexual individuals working to bring about political or social change through public organizing.,Personas bisexuales que trabajan para lograr cambios políticos o sociales a través de la organización pública.,,,,
Bisexual politicians,Políticos bisexuales,homoit0000177,Bisexual public officials,"Oficiales públicos bisexuales||
Oficiales públicas bisexuales||
Políticas bisexuales","Bisexual people who are candidates for public office, are currently holding public office, or have held political positions. Politicians can be elected by public election or otherwise appointed.","Personas bisexuales que son candidatas a cargos públicos, que ejercen cargos públicos o que han desempeñado cargos políticos. Los políticos pueden ser elegidos mediante elección pública o designados de otro modo.",Políticos bisexuales,,,"--> In altLabel ES and SN ES, GNL and FGG."
Bisexual porn films,Películas pornográficas bisexuales,homoit0000178,,,Erotic or sexually explicit films featuring bisexual people.,Películas eróticas o sexualmente explícitas protagonizadas por personas bisexuales.,,,,
Bisexual press,Prensa bisexual,homoit0000179,,Diarios bisexuales,"Newspapers, magazines, or other publishing outlets aimed at bisexual audiences and/or operated by bisexual people.","Periódicos, revistas u otros medios editoriales dirigidos a audiencias bisexuales y/o operados por personas bisexuales.",,,,
Bisexual prostitutes,Trabajadores sexuales bisexuales,homoit0000180,"Bisexual prostitutes
Bi sex workers
Bi prostitutes
Bisexual prostitution
Bisexual sex work","Prostitutos bisexuales|| 
Trabajadores sexuales bi|| 
Prostitutos bi|| 
Prostitución bisexual||
Trabajo sexual bisexual||
Prostitutas bisexuales|| 
Trabajadoras sexuales bi|| 
Prostitutas bi|| 
Trabajadoras sexuales bisexuales",Bisexual people who receive money or goods in exchange for sexual services or performances. Use to describe bisexual people working across the broad spectrum of sex work.,Personas bisexuales que reciben dinero o bienes a cambio de servicios o actuaciones sexuales. Se utiliza para describir a las personas bisexuales que trabajan en el amplio espectro del trabajo sexual.,,,,"--> FGG in altLabel ES?
--> I share the same thoughts as Ana. There are way more prefLabel EN including ""prostitutes"" than ""sex workers"" in the vocabulary. Why is that?"
Bisexual Protestants,Protestantes bisexuales,homoit0000181,,,Bisexual people who are members of the Protestant church.,Personas bisexuales que son miembros de la Iglesia protestante.,,,,
Bisexual publishers,Editoriales bisexuales,homoit0000182,,,Companies and organizations that publish materials for bisexual communities or addressing bisexual issues.,Empresas y organizaciones que publican materiales para comunidades bisexuales o que abordan asuntos bisexuales.,,,,"--> altLabel ES is the same as prefLabel ES, we should drop it?"
Bisexual radio,Radio bisexual,homoit0000183,,,Auditory content broadcast on the radio (analog or digital) about bisexuality and bisexual issues.,Contenido auditivo emitido por radio (analógica o digital) sobre la bisexualidad y asuntos bisexuales.,,,,
Bisexual relationships,Relaciones bisexuales,homoit0000184,,,"Ongoing connections (romantic, sexual, or platonic) between two or more bisexual people.","Conexiones continuas (románticas, sexuales o platónicas) entre dos o más personas bisexuales.",,,,
Bisexual rights,Derechos bisexuales,homoit0001594,,,"Legal, social, or ethical principles of freedom or entitlement held by bisexual people.","Principios legales, sociales o éticos de libertad o derecho que tienen las personas bisexuales.",,,,
Bisexual Roman Catholics,Personas católico romanas bisexuales,homoit0001572,,"Católico romanos bisexuales||
Católico romanas bisexuales",Bisexual people who are members of the Roman Catholic Church.,Personas bisexuales que son miembros de la Iglesia católica romana.,,,,--> FGG and GNL in altLabel ES
Bisexual romance fiction,Ficción romántica bisexual,homoit0001611,,,Written literary work focusing on romantic relationships and love between people; use in reference to romance fiction focusing on bisexual characters or themes.,Obras literarias escritas centradas en las relaciones románticas y el amor entre personas; utilícese en referencia a la ficción romántica centrada en personajes o temas bisexuales.,,,,
